"idOcc","catalogNumber","recordedBy","occurrenceID","recordNumber","otherCatalogNumbers","individualCount","preparations","occurrenceRemarks"
"idOcc_80","L.3508115","Martius CFP von","http://data.biodiversitydata.nl/naturalis/specimen/L.3508115",NA,NA,NA,NA,NA
"idOcc_81","BM001027138","Per Karl Hjalmar Dusén","f1178cbc-3e81-474c-8bd1-2c65df9a4b2a","14956","NHMUK:ecatalogue:2205244",NA,NA,NA
"idOcc_82","BM001027142","H Leuderwaldt","7b3ea99d-18e8-41cb-ada3-af1a3e2aae4a","21480","NHMUK:ecatalogue:2205255",NA,NA,NA
"idOcc_83","BM001027140","Per Karl Hjalmar Dusén","eaa4ba53-be1d-4dbb-9888-e63fd4238846","3351","NHMUK:ecatalogue:2205253",NA,NA,NA
"idOcc_84","BM001027148","Martii","35b40a62-85d6-46e2-a5b7-109df8da899a","342","NHMUK:ecatalogue:2211060",NA,NA,NA
"idOcc_85","BM001027144","R Ruiz","08051d5b-e7e4-490f-b856-598c71d4a7f0","H703","NHMUK:ecatalogue:2211031",NA,NA,NA
"idOcc_86","BM001027147","Padre Raulino Reitz","506ac5cc-b6c5-4765-8c35-edb5739ba1cf","s.n.","NHMUK:ecatalogue:2211054",NA,NA,NA
"idOcc_87","BM001027141","A.H.G. Alston & B.M.J. Lutz","0c0b928f-0294-4753-a237-997294b06438","270","NHMUK:ecatalogue:2205254",NA,NA,NA
"idOcc_88","BM000864861","Maarten Joost Maria Christenhusz; b.1976; Christenh.","4afffc6d-7413-4504-8a5d-318190b81ca3","4907","NHMUK:ecatalogue:559543",NA,NA,NA
"idOcc_89","BM001027146","Dusen","da88aec6-c623-4dd1-99aa-9899f0ddc398","s.n.","NHMUK:ecatalogue:2211043",NA,NA,NA
"idOcc_90","BM000864870","Maarten Joost Maria Christenhusz; b.1976; Christenh.","0b911b1b-9e3b-413e-bf3a-49d1d41d5f61","5009","NHMUK:ecatalogue:559552",NA,NA,NA
"idOcc_91","BM001031970","Maarten J.M. Christenhusz, Samuli Lehtonen, Jefferson Prado & Hanna Tuomisto","df12af7c-d1c5-402d-bd72-e03d509403fc","4907","4907",NA,NA,NA
"idOcc_92","","","","","",NA,"",""
"idOcc_93","BM001027143","Anon.","7e135553-4ba5-42f7-9716-60c554b57c3b","s.n.","NHMUK:ecatalogue:2211014",NA,NA,NA
"idOcc_94","BM000904060","Maarten J.M. Christenhusz, Samuli Lehtonen & Pedro B. Schwartsburd","3f4eda56-5660-4d92-b8cc-506f77bdfb32","5009"," dull-green.\, \subdepartment\: \Ferns\}",NA,NA,NA
"idOcc_95","","","","","",NA,"",""
"idOcc_96","BM000864862","Maarten Joost Maria Christenhusz; b.1976; Christenh.","f272a7d1-9d77-4950-8298-59fbf0100e48","4922","NHMUK:ecatalogue:559544",NA,NA,NA
"idOcc_97","532232","-. Mosén","http://n2t.net/ark:/65665/30cdcd51f-3920-4a57-be8e-de0699ac2e6d","2111",NA,1,NA,NA
"idOcc_98","2295969","R. Reitz","http://n2t.net/ark:/65665/327365f3c-0aae-454f-b279-c86460b6fed4","1910",NA,1,NA,NA
"idOcc_99","1800946","M. B. Foster & R. Foster","http://n2t.net/ark:/65665/3efe032d2-81dc-4cf1-bd80-1233361ea045","1030",NA,1,NA,NA
"idOcc_100","1516107","A. C. Brade","http://n2t.net/ark:/65665/3dce094f3-e083-4321-8e47-e711ab306641","8239",NA,1,NA,NA
"idOcc_101","2295938","J. A. Rohr","http://n2t.net/ark:/65665/30d421bfc-2640-4e29-9ebd-c5f958e509ed","1054",NA,1,NA,NA
"idOcc_102","600628","-. Jurgens","http://n2t.net/ark:/65665/3389695c3-0826-4641-8ff5-67126ce7884d","s.n.",NA,1,NA,NA
